1	100	16.066310	17.052453	28.687615
1	1000	17.458072	17.462539	28.687502
1	2000	17.104990	17.441793	28.687501
1	4000	17.071047	17.241434	28.687499
1	6000	17.069376	17.141106	28.687501
1	8000	17.075379	17.194886	28.687500
1	10000	17.062789	17.064730	28.687501
1	12000	17.066996	17.111174	28.687499
2	100	32.783559	33.899037	28.687615
2	1000	34.767693	34.830669	28.687502
2	2000	34.207649	34.732454	28.687501
2	4000	34.100598	34.183499	28.687499
2	6000	34.101996	34.224118	28.687501
2	8000	34.125003	34.379323	28.687500
2	10000	34.111331	34.285130	28.687501
2	12000	34.091789	34.098712	28.687499
4	100	58.160236	68.211763	28.687615
4	1000	66.760357	67.690081	28.687502
4	2000	66.992941	68.196001	28.687501
4	4000	67.006333	67.902278	28.687499
4	6000	67.220256	68.129265	28.687501
4	8000	67.252117	68.141521	28.687500
4	10000	66.703007	67.999184	28.687501
4	12000	66.679537	67.256100	28.687499
8	100	103.946746	117.666468	28.687615
8	1000	122.611662	123.262893	28.687502
8	2000	122.887480	123.187143	28.687501
8	4000	115.767176	115.915463	28.687499
8	6000	123.598183	123.654382	28.687501
8	8000	123.290355	123.699278	28.687500
8	10000	123.364476	123.636300	28.687501
8	12000	123.146241	123.430227	28.687499
12	100	130.593291	151.061033	28.687615
12	1000	170.991619	172.147338	28.687502
12	2000	171.707693	172.207609	28.687501
12	4000	171.619711	171.720717	28.687499
12	6000	172.051527	172.130468	28.687501
12	8000	172.450526	172.805682	28.687500
12	10000	172.467171	173.066386	28.687501
12	12000	172.357116	172.848037	28.687499
16	100	165.044804	186.663043	28.687615
16	1000	218.788043	221.193592	28.687502
16	2000	220.125200	221.275631	28.687501
16	4000	221.215288	221.451814	28.687499
16	6000	221.503386	221.653851	28.687501
16	8000	221.744124	221.882864	28.687500
16	10000	221.728887	222.032866	28.687501
16	12000	221.564553	222.036276	28.687499
